Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,NationalID,Occupation,Company,BloodType,Pounds,Kilograms,FeetInches,Centimeters
42,female,American,Mrs.,Patsy,M,Stevens,"4972 Hart Street",Hartford,CT,Connecticut,06182,US,"United States",860-250-3228,1,McMasters,7/31/1979,40,048-30-8927,Babysitter,Hastings,O+,130.5,59.3,"5' 3""",160
43,female,American,Mrs.,Hilaria,B,Voss,"2351 Simpson Square",Ardmore,OK,Oklahoma,73401,US,"United States",580-579-2401,1,Taylor,10/19/1991,27,444-92-5220,Animator,"Funtown toys",A+,133.5,60.7,"5' 2""",157
44,female,American,Ms.,Anna,B,Salem,"2333 Victoria Street","Baton Rouge",LA,Louisiana,70801,US,"United States",225-277-2487,1,Stolp,5/30/1974,45,663-05-9694,"Psychiatric nurse","DGS VolMAX",A+,201.5,91.6,"5' 1""",156
45,female,American,Mrs.,Edith,J,Walker,"991 Wilkinson Street",Nashville,TN,Tennessee,37210,US,"United States",615-433-0203,1,Fahey,5/28/1981,38,762-01-6114,"Fish trimmer","Service Merchandise",A-,130.0,59.1,"5' 5""",165
46,female,American,Mrs.,Marlene,A,Wortman,"3179 New York Avenue",Pomona,CA,California,91766,US,"United States",818-239-6248,1,Jones,1/9/1972,47,549-22-3342,"Gas furnace installer","EXPO Design Center",A+,140.4,63.8,"5' 8""",172
47,female,American,Ms.,Donella,P,Blaha,"2734 Lee Avenue","Penns Grove",NJ,"New Jersey",08069,US,"United States",856-351-9841,1,Steves,2/5/1947,72,143-84-0592,Patternmaker,Mikrotechnic,O+,126.3,57.4,"5' 3""",161
48,female,American,Mrs.,Leona,E,Sanchez,"4423 Lochmere Lane",Cheshire,CT,Connecticut,06410,US,"United States",860-457-6889,1,Rios,7/16/1972,47,047-56-7780,"Case management aide","Boys Markets",O+,196.7,89.4,"5' 1""",155
49,female,American,Ms.,Kristina,J,Smith,"3726 Fowler Avenue",Atlanta,GA,Georgia,30339,US,"United States",770-261-9406,1,Golding,11/21/1980,38,256-09-7928,"Tower controller","First Rate Choice",O+,159.9,72.7,"5' 9""",175
50,female,American,Ms.,Verna,B,James,"3466 Big Elm",Independence,MO,Missouri,64055,US,"United States",816-885-9624,1,Singer,11/9/1942,76,495-88-7106,"Certified nursing assistant","Sam Goody",A+,125.4,57.0,"5' 6""",168
51,female,American,Mrs.,Jean,R,Baley,"1574 Roy Alley",Westminster,CO,Colorado,80030,US,"United States",303-902-0763,1,Ross,11/20/1939,79,523-44-7117,"Marble setter","Integra Design",O+,236.5,107.5,"5' 0""",152
52,female,American,Ms.,Jessica,R,Workman,"1127 Locust Street",Albany,GA,Georgia,31701,US,"United States",229-809-4135,1,Miles,10/28/1953,65,257-19-0555,"Network systems and data communications analyst","Warehouse Club, Inc.",A+,149.8,68.1,"5' 1""",154
53,female,American,Mrs.,Anna,B,Ryder,"3240 Pearcy Avenue",Milwaukee,WI,Wisconsin,53223,US,"United States",262-238-7888,1,Ortiz,7/3/1977,42,389-88-6017,"Wholesale buyer",Vari-Tec,A+,189.2,86.0,"5' 1""",156
54,female,American,Ms.,Kay,R,Settles,"117 Alexander Drive","Lake Arrowhead",TX,Texas,76301,US,"United States",940-528-1783,1,Southerland,10/1/1984,34,450-49-1438,"Floor layer","Dun Rite Lawn Maintenance",B+,209.2,95.1,"5' 6""",168
55,female,American,Mrs.,Beverly,G,Sargent,"3023 Drummond Street",Nutley,NJ,"New Jersey",07110,US,"United States",973-235-6632,1,Wilburn,8/24/1954,64,150-88-8420,"Engraver set-up operator","Yesterday's Records",O+,175.3,79.7,"5' 1""",154
56,female,American,Mrs.,Chris,M,McIntosh,"3079 Mayo Street",Cincinnati,KY,Kentucky,45203,US,"United States",859-813-9382,1,Davidson,7/22/1941,78,400-05-3945,"Control technician","Miller & Rhoads",O+,120.1,54.6,"5' 6""",168
57,female,American,Ms.,Rita,R,Neumann,"1126 Fleming Way",Richmond,VA,Virginia,23224,US,"United States",804-712-5179,1,Howard,12/28/1962,56,225-82-8225,"Crane and tower operator",Chargepal,A+,217.6,98.9,"5' 3""",160
58,female,American,Mrs.,Rina,B,Young,"838 Confederate Drive","North Syracuse",NY,"New York",13212,US,"United States",315-739-5372,1,Gregory,10/17/1982,36,102-42-6113,"Delivery services truck driver",Adaptaz,O+,189.4,86.1,"5' 1""",154
59,female,American,Ms.,Doris,A,Dixon,"2141 Spring Street",Decatur,IL,Illinois,62526,US,"United States",217-775-3246,1,Steves,9/16/1934,84,336-58-3357,"Labor relations manager",Strongbod,B+,167.6,76.2,"5' 1""",156
60,female,American,Dr.,Elizabeth,A,Craig,"4853 Wyatt Street",Doral,FL,Florida,33172,US,"United States",561-491-5743,1,Green,1/27/1974,45,264-42-1456,"Welding machine tender",Greyvoid,O+,147.6,67.1,"5' 6""",167
61,female,American,Mrs.,Theresa,P,White,"3304 Davis Lane",Centennial,CO,Colorado,80112,US,"United States",720-334-2346,1,Barry,1/8/1965,54,524-08-2420,"Business management consultant","Sunflower Market",A+,168.1,76.4,"5' 1""",156
62,female,American,Mrs.,Theresa,L,Mason,"286 Grove Avenue",Sentinel,OK,Oklahoma,73664,US,"United States",580-393-7654,1,Aucoin,6/25/1951,68,446-76-7448,"Coil winder","Forum Cafeterias",O+,166.3,75.6,"5' 2""",158
63,female,American,Mrs.,Emily,M,Ford,"1442 George Avenue",Mobile,AL,Alabama,36602,US,"United States",251-241-5490,1,Butkovich,8/3/1942,77,423-05-3713,"Wound, ostomy, and continence nurse","Cut Above",O+,204.2,92.8,"5' 7""",170
64,female,American,Mrs.,Kristen,J,Washington,"3644 Crim Lane",Miamisburg,OH,Ohio,45342,US,"United States",937-859-3262,1,Mascarenas,12/5/1954,64,295-08-8943,"Railroad brake, signal, and switch operator","Yesterday's Records",O+,112.9,51.3,"5' 5""",166
65,female,American,Mrs.,Brooke,D,Butkovich,"976 Poe Road",Conway,SC,"South Carolina",29526,US,"United States",843-254-9614,1,Tucker,4/22/1975,44,657-14-3505,"Electronic typesetting machine operator",Schweggmanns,A+,130.5,59.3,"5' 6""",168
66,female,American,Ms.,Valerie,G,Pilcher,"2426 Flanigan Oaks Drive",Greenbelt,MD,Maryland,20770,US,"United States",301-318-2030,1,Robinson,9/5/1964,54,218-39-7193,"Signal and track switch repairer","Pro Star",O+,227.7,103.5,"5' 7""",170
67,female,American,Mrs.,Jessica,R,Davis,"1176 Arbor Court",Evanston,WY,Wyoming,82930,US,"United States",307-255-3629,1,Schroeder,10/9/1964,54,520-40-9722,"Medical coder","Morrie Mages",O+,127.8,58.1,"5' 6""",168
68,female,American,Mrs.,Ella,J,Allen,"83 Woodland Drive","Sergeant Bluff",IA,Iowa,51054,US,"United States",712-271-9467,1,Kilmer,12/1/1933,85,484-48-4365,"Urban and transportation geographer","Griff's Hamburgers",B+,107.6,48.9,"5' 4""",163
69,female,American,Ms.,Linnie,R,Cooper,"3644 Owagner Lane",Seattle,WA,Washington,98119,US,"United States",206-282-4780,1,Taylor,9/10/1943,75,535-78-3486,"Radio and telecommunications equipment installer","Red Bears Tavern",A+,184.8,84.0,"5' 2""",157
70,female,American,Mrs.,Elizabeth,P,Herrera,"3523 Driftwood Road","San Jose",CA,California,95127,US,"United States",408-347-5442,1,Stanley,11/9/1996,22,562-19-9495,Reporter,"Eagle Hardware & Garden",O+,149.8,68.1,"5' 4""",162
71,female,American,Ms.,Marianna,W,Kelly,"2230 Myra Street",Providence,RI,"Rhode Island",02903,US,"United States",401-488-8326,1,McCarty,5/23/1953,66,035-66-2210,"Copy writer","Castle Realty",B+,205.7,93.5,"4' 11""",151
72,female,American,Ms.,Florence,A,Haley,"1291 Henry Ford Avenue",Tulsa,OK,Oklahoma,74131,US,"United States",918-269-6602,1,Marion,8/13/1989,30,446-76-1011,"Clerical worker supervisor","Buttrey Food & Drug",A+,211.4,96.1,"5' 5""",166
73,female,American,Mrs.,Kathleen,M,Steven,"1105 Hershell Hollow Road",Tukwila,WA,Washington,98168,US,"United States",425-214-1779,1,Lawrence,11/16/1955,63,531-10-0325,"CT technologist","Team Uno",A+,197.8,89.9,"5' 7""",171
74,female,American,Ms.,Robin,S,Waller,"3622 Nixon Avenue",Lima,OH,Ohio,45801,US,"United States",419-993-7173,1,Buchanan,7/21/1953,66,302-86-2139,"Tractor driver","All Wound Up",O+,169.8,77.2,"5' 5""",164
75,female,American,Ms.,Brenda,J,Kneeland,"4265 Walkers Ridge Way",Covina,CA,California,91723,US,"United States",626-967-7649,1,Bates,5/2/1975,44,607-18-4600,"Fabric and apparel patternmaker","Dick Fischers",O+,210.5,95.7,"5' 2""",158
76,female,American,Mrs.,Gregoria,R,Hutchinson,"1557 Woodstock Drive",Alhambra,CA,California,91801,US,"United States",626-576-9195,1,Beery,4/3/1947,72,563-22-9650,"Personnel services specialist","Flagg Bros. Shoes",A+,169.2,76.9,"5' 3""",160
77,female,American,Ms.,Evelyn,T,Martinez,"4161 Bell Street","New York",NY,"New York",10011,US,"United States",212-229-0011,1,Wilkins,7/28/1951,68,124-56-7881,"Computer control operator","Standard Brands Paint Company",O+,166.3,75.6,"5' 3""",160
78,male,American,Mr.,Randy,I,Chavez,"1919 Yorkshire Circle",Wilson,NC,"North Carolina",27893,US,"United States",252-293-1429,1,Caban,4/14/1945,74,242-50-9595,"Camera repairer","Super Place",O+,213.4,97.0,"6' 0""",184
79,female,American,Dr.,Jean,L,Sanders,"3591 Del Dew Drive",Waldorf,MD,Maryland,20601,US,"United States",301-870-9311,1,Fairbanks,3/16/1934,85,212-13-8019,"Risk manager",Janeville,A+,157.1,71.4,"5' 1""",154
80,female,American,Ms.,Rita,J,Eckhart,"3538 Pleasant Hill Road",Miami,FL,Florida,33128,US,"United States",561-948-9073,1,Murphy,11/5/1956,62,770-18-9235,Manager,"Gene Walter's Marketplace",B+,193.6,88.0,"5' 1""",155
81,female,American,Ms.,Nicole,W,Flinchum,"1327 Saint Francis Way",Norristown,PA,Pennsylvania,19403,US,"United States",267-217-7476,1,Kennedy,6/10/1968,51,162-64-7542,"Training and development manager","Our Own Hardware",A+,171.2,77.8,"5' 3""",160
82,female,American,Mrs.,Lovie,W,Dolezal,"3335 Fancher Drive",Lewisville,TX,Texas,75067,US,"United States",214-219-7256,1,Bryant,12/7/1950,68,451-28-7552,"Marriage and family therapist",Oshman's,B+,184.8,84.0,"5' 1""",156
83,female,American,Mrs.,James,E,Blake,"1629 Barfield Lane",Indianapolis,IN,Indiana,46254,US,"United States",317-553-9967,1,Hall,4/5/1988,31,310-04-5263,"Audio and video equipment operator","Fradkin Brothers Furniture",B+,172.0,78.2,"5' 3""",160
84,female,American,Ms.,Alexis,J,Shreve,"4641 Koontz Lane",Sylmar,CA,California,91342,US,"United States",818-833-2818,1,Fisher,10/7/1938,80,571-18-3167,"Tour guide","World Radio",O+,196.2,89.2,"5' 6""",167
85,female,American,Mrs.,Dana,R,Hare,"1557 Oakwood Circle","Santa Ana",CA,California,92705,US,"United States",949-417-3740,1,Gagne,3/24/1948,71,610-82-2914,"Electronic equipment installer","Happy Family",A+,137.1,62.3,"5' 2""",157
86,female,American,Ms.,Katherine,A,Washington,"2956 Central Avenue",Bayonne,NJ,"New Jersey",07002,US,"United States",201-339-9689,1,Bargas,12/29/1995,23,136-28-5586,"Rolling machine tender","Crazy Tiger",B+,116.2,52.8,"5' 4""",162
87,female,American,Ms.,Etta,G,Smith,"628 Lilac Lane",Douglas,GA,Georgia,31533,US,"United States",912-520-9753,1,Gray,8/14/1980,39,669-07-2566,"Fish cleaner","Life Map",A+,165.2,75.1,"5' 4""",163
88,female,American,Mrs.,Angela,I,Lozada,"1983 Green Acres Road","Rocky Mount",NC,"North Carolina",27801,US,"United States",252-405-8301,1,Arce,7/16/1989,30,686-01-0422,"Independent agent","Life Map Planners",O+,218.9,99.5,"5' 3""",160
89,female,American,Ms.,Ruth,R,Overton,"897 Hillcrest Drive",Tukwila,WA,Washington,98168,US,"United States",253-345-2415,1,Walker,12/9/1981,37,533-42-1349,"Operating room technician","Alert Alarm Company",A+,202.2,91.9,"5' 8""",173
90,female,American,Ms.,Mary,J,Reynolds,"2975 Cody Ridge Road",Velma,OK,Oklahoma,73091,US,"United States",580-444-3587,1,Hamilton,9/16/1962,56,447-96-7991,"Image designer","Payless Cashways",AB+,181.5,82.5,"5' 4""",163
91,female,American,Mrs.,Doretha,C,Blackburn,"3547 White Oak Drive",Warrensburg,MO,Missouri,64093,US,"United States",816-653-5399,1,Horton,12/4/1980,38,496-04-2865,"Ambulance dispatcher","Western Auto",O+,202.8,92.2,"5' 2""",157
92,male,American,Mr.,Gordon,M,McCann,"1891 Dark Hollow Road",Orfordville,WI,Wisconsin,53576,US,"United States",608-879-1629,1,Marek,3/21/1968,51,395-08-7847,"Tax accountant","Discount Furniture Showcase",B+,222.9,101.3,"5' 10""",178
93,female,American,Ms.,Michelle,W,Baker,"622 Mahlon Street",Piscataway,NJ,"New Jersey",08854,US,"United States",732-981-7574,1,Moore,12/12/1941,77,136-52-4036,"Recreational vehicle service technician","Price's Electronics",O+,213.0,96.8,"5' 1""",154
94,female,American,Mrs.,Esther,J,Parker,"2103 Blackwell Street",Fairbanks,AK,Alaska,99701,US,"United States",907-452-6610,1,Armstrong,7/24/1934,85,574-76-9619,"Home entertainment service technician",Raleigh's,B+,150.9,68.6,"5' 5""",166
95,female,American,Dr.,Tina,D,Gilbert,"488 Fire Access Road",Greensboro,NC,"North Carolina",27403,US,"United States",336-856-7835,1,Robertson,1/27/1934,85,239-48-1510,"Environmental meteorologist","Architectural Genie",O-,159.5,72.5,"5' 4""",162
96,female,American,Dr.,Mable,B,Hall,"4574 Longview Avenue",Brooklyn,NY,"New York",11212,US,"United States",718-498-9732,1,Austin,3/1/1967,52,054-96-2617,"Creative writer",Wellby,A+,113.5,51.6,"5' 7""",169
97,female,American,Ms.,Barbara,C,Gardiner,"3023 Simpson Street","Coal Valley",IL,Illinois,61240,US,"United States",309-799-6798,1,Miller,6/19/1964,55,353-24-1966,"Ski patrol",Isaly's,AB-,118.8,54.0,"5' 5""",164
98,female,American,Mrs.,Caroline,J,Jenkins,"3357 Rocket Drive",Richfield,MN,Minnesota,55423,US,"United States",612-866-8232,1,Moore,5/30/1937,82,477-82-0396,"Interior designer","Rex Audio Video Appliance",O+,105.6,48.0,"5' 5""",166
99,female,American,Ms.,Glenda,J,Purpura,"1934 Mayo Street",Cincinnati,KY,Kentucky,45249,US,"United States",859-760-7515,1,Weaver,7/7/1935,84,404-80-8693,"Fine arts instructor",Adapt,O+,152.9,69.5,"4' 11""",150
100,female,American,Mrs.,Teresa,D,Brown,"355 Grim Avenue","El Cajon",CA,California,92020,US,"United States",619-754-1254,1,Robinson,11/5/1952,66,558-40-3824,"Dry-cleaning worker","Irving's Sporting Goods",O+,152.5,69.3,"5' 7""",170
101,female,American,Mrs.,Denise,R,Pineda,"3674 Lowes Alley",Westerville,OH,Ohio,43081,US,"United States",740-255-2109,1,Anderson,3/8/1964,55,293-84-3781,"News camera operator","Weenie Beenie",O+,220.0,100.0,"5' 1""",154
102,female,American,Ms.,Karen,C,McKnight,"3797 Bolman Court",Jacksonville,IL,Illinois,62650,US,"United States",217-371-0352,1,Luttrell,3/17/1997,22,359-50-1718,"Chemical equipment tender","Crown Books",O+,131.1,59.6,"5' 7""",169
103,female,American,Mrs.,Noemi,W,Rohr,"934 Jarvisville Road",Westbury,NY,"New York",11590,US,"United States",516-997-1305,1,Douglas,10/4/1969,49,113-16-7035,"Video camera operator",Steinberg's,O+,147.4,67.0,"5' 3""",159
104,female,American,Ms.,Belinda,W,Drake,"155 Wiseman Street",Dandridge,TN,Tennessee,37725,US,"United States",865-484-0916,1,Bailey,11/1/1937,81,759-01-1048,Engineer,"Buck Alley Lumber",B+,155.3,70.6,"5' 0""",152
105,female,American,Mrs.,Cassidy,B,Johnson,"2504 Beeghley Street",Temple,TX,Texas,76501,US,"United States",254-778-1857,1,Carlton,7/30/1982,37,461-97-5528,"Condominium association manager",Liberal,O+,119.5,54.3,"5' 5""",165
106,female,American,Ms.,Leona,M,Guenther,"4273 Hilltop Haven Drive",Landing,NJ,"New Jersey",07843,US,"United States",973-770-7402,1,McKay,4/10/1987,32,135-52-4748,"Respiratory therapy technician","Steve & Barry's",A+,147.4,67.0,"5' 7""",171
107,female,American,Mrs.,Dorothy,S,Haney,"4051 Walnut Drive",Penn,ND,"North Dakota",58362,US,"United States",701-393-0675,1,Pyron,7/9/1955,64,502-68-4952,"Fish cleaner","Kragen Auto Parts",A-,184.4,83.8,"5' 2""",157
108,female,American,Mrs.,Tiffany,R,Moyers,"2853 Elk Rd Little",Nogales,AZ,Arizona,85621,US,"United States",520-285-9173,1,Estevez,8/17/1952,67,601-49-5183,"Speech pathologist","Food Giant",O+,219.1,99.6,"5' 7""",171
109,female,American,Ms.,Dorothy,J,Thompson,"141 Elm Drive","Garden City",NY,"New York",11530,US,"United States",646-462-8248,1,Pope,1/5/1999,20,063-32-4059,"Talking-books clerk","Monk Home Loans",O+,179.3,81.5,"5' 0""",153
